target_uid,name,mandate_start,mandate_end,sycomore_fid,source_url,retrieved
PA332228,Thierry Benoit,2024-07-08,,17265,https://www2.assemblee-nationale.fr/sycomore/fiche/17265,2026-09-13
PA332523,Marie-Christine Dalloz,2024-07-08,2025-02-13,17293,https://www2.assemblee-nationale.fr/sycomore/fiche/17293,2026-09-13
PA332523,Marie-Christine Dalloz,2025-04-07,,17293,https://www2.assemblee-nationale.fr/sycomore/fiche/17293,2026-09-13
PA333285,Guillaume Garot,2024-07-08,,17309,https://www2.assemblee-nationale.fr/sycomore/fiche/17309,2026-09-13
PA335054,Marietta Karamanli,2024-07-08,,17333,https://www2.assemblee-nationale.fr/sycomore/fiche/17333,2026-09-13
PA335612,Jean-Paul Lecoq,2024-07-08,,17338,https://www2.assemblee-nationale.fr/sycomore/fiche/17338,2026-09-13
PA335999,Delphine Batho,2024-07-08,,17264,https://www2.assemblee-nationale.fr/sycomore/fiche/17264,2026-09-13
PA340343,Hervé Saulignac,2024-07-08,,19376,https://www2.assemblee-nationale.fr/sycomore/fiche/19376,2026-09-13
PA341981,Marie Récalde,2024-07-08,,18509,https://www2.assemblee-nationale.fr/sycomore/fiche/18509,2026-09-13
PA342196,Claudia Rouaux,2024-07-08,,19526,https://www2.assemblee-nationale.fr/sycomore/fiche/19526,2026-09-13
PA342240,Jean-Luc Bourgeaux,2024-07-08,,19509,https://www2.assemblee-nationale.fr/sycomore/fiche/19509,2026-09-13
PA342384,Élisa Martin,2024-07-08,,19727,https://www2.assemblee-nationale.fr/sycomore/fiche/19727,2026-09-13
PA342415,Marie-Noëlle Battistel,2024-07-08,,18077,https://www2.assemblee-nationale.fr/sycomore/fiche/18077,2026-09-13
PA345722,Constance Le Grip,2024-07-08,,19243,https://www2.assemblee-nationale.fr/sycomore/fiche/19243,2026-09-13
PA346782,Philippe Juvin,2024-07-01,,19684,https://www2.assemblee-nationale.fr/sycomore/fiche/19684,2026-09-13
PA368,Michel Barnier,2025-09-29,,419,https://www2.assemblee-nationale.fr/sycomore/fiche/419,2026-09-13
PA569,Philippe Bonnecarrère,2024-07-08,,936,https://www2.assemblee-nationale.fr/sycomore/fiche/936,2026-09-13
PA588884,Clémentine Autain,2024-07-01,,19018,https://www2.assemblee-nationale.fr/sycomore/fiche/19018,2026-09-13
PA605745,Nicolas Sansu,2024-07-08,,18522,https://www2.assemblee-nationale.fr/sycomore/fiche/18522,2026-09-13
PA605782,Laurent Marcangeli,2024-07-08,2025-01-23,18476,https://www2.assemblee-nationale.fr/sycomore/fiche/18476,2026-09-13
PA605782,Laurent Marcangeli,2025-11-06,,18476,https://www2.assemblee-nationale.fr/sycomore/fiche/18476,2026-09-13
PA606507,Florent Boudié,2024-07-08,2026-07-19,18365,https://www2.assemblee-nationale.fr/sycomore/fiche/18365,2026-09-13
PA606545,Jean-Louis Roumégas,2024-07-08,,18518,https://www2.assemblee-nationale.fr/sycomore/fiche/18518,2026-09-13
PA606573,Fanny Dombre Coste,2024-07-08,,18408,https://www2.assemblee-nationale.fr/sycomore/fiche/18408,2026-09-13
PA606793,Laurent Baumel,2024-07-08,,18351,https://www2.assemblee-nationale.fr/sycomore/fiche/18351,2026-09-13
PA607090,Jean-Pierre Vigier,2024-07-08,,18544,https://www2.assemblee-nationale.fr/sycomore/fiche/18544,2026-09-13
PA607193,Sophie Errante,2024-07-08,,18417,https://www2.assemblee-nationale.fr/sycomore/fiche/18417,2026-09-13
PA607395,Stéphane Travert,2024-07-08,,18537,https://www2.assemblee-nationale.fr/sycomore/fiche/18537,2026-09-13
PA607553,Dominique Potier,2024-07-08,,18502,https://www2.assemblee-nationale.fr/sycomore/fiche/18502,2026-09-13
PA607619,Paul Molac,2024-07-08,,18482,https://www2.assemblee-nationale.fr/sycomore/fiche/18482,2026-09-13
PA608172,Christine Pirès Beaune,2024-07-08,,18498,https://www2.assemblee-nationale.fr/sycomore/fiche/18498,2026-09-13
PA608264,Colette Capdevielle,2024-07-08,,18378,https://www2.assemblee-nationale.fr/sycomore/fiche/18378,2026-09-13
PA608416,Patrick Hetzel,2024-07-08,2024-10-21,18445,https://www2.assemblee-nationale.fr/sycomore/fiche/18445,2026-09-13
PA608416,Patrick Hetzel,2025-01-24,,18445,https://www2.assemblee-nationale.fr/sycomore/fiche/18445,2026-09-13
PA608826,Virginie Duby-Muller,2024-07-08,,18413,https://www2.assemblee-nationale.fr/sycomore/fiche/18413,2026-09-13
PA609332,Olivier Faure,2024-07-01,,18421,https://www2.assemblee-nationale.fr/sycomore/fiche/18421,2026-09-13
PA610002,Eva Sas,2024-07-01,,18524,https://www2.assemblee-nationale.fr/sycomore/fiche/18524,2026-09-13
PA610654,Jean-Philippe Nilor,2024-07-08,,18489,https://www2.assemblee-nationale.fr/sycomore/fiche/18489,2026-09-13
PA610968,Pouria Amirshahi,2024-07-01,,18335,https://www2.assemblee-nationale.fr/sycomore/fiche/18335,2026-09-13
PA642695,Éric Bothorel,2024-07-08,,19051,https://www2.assemblee-nationale.fr/sycomore/fiche/19051,2026-09-13
PA642725,Eric Liégeon,2024-10-22,,20026,https://www2.assemblee-nationale.fr/sycomore/fiche/20026,2026-09-13
PA642764,Joël Aviragnet,2024-07-08,,18615,https://www2.assemblee-nationale.fr/sycomore/fiche/18615,2026-09-13
PA642847,Thibault Bazin,2024-07-08,,19029,https://www2.assemblee-nationale.fr/sycomore/fiche/19029,2026-09-13
PA642935,Olivier Becht,2024-07-08,,19033,https://www2.assemblee-nationale.fr/sycomore/fiche/19033,2026-09-13
PA642988,Hervé de Lépinau,2024-07-01,,19710,https://www2.assemblee-nationale.fr/sycomore/fiche/19710,2026-09-13
PA643089,Jean-Louis Thiériot,2024-07-08,2024-10-27,19467,https://www2.assemblee-nationale.fr/sycomore/fiche/19467,2026-09-13
PA643089,Jean-Louis Thiériot,2025-01-24,,19467,https://www2.assemblee-nationale.fr/sycomore/fiche/19467,2026-09-13
PA643104,Christelle Minard,2025-07-08,,20042,https://www2.assemblee-nationale.fr/sycomore/fiche/20042,2026-09-13
PA643143,Christian Baptiste,2024-07-08,,19567,https://www2.assemblee-nationale.fr/sycomore/fiche/19567,2026-09-13
PA643157,Philippe Naillet,2024-07-08,,19448,https://www2.assemblee-nationale.fr/sycomore/fiche/19448,2026-09-13
PA643175,Stella Dupont,2024-07-08,,19137,https://www2.assemblee-nationale.fr/sycomore/fiche/19137,2026-09-13
PA643184,Brigitte Klinkert,2024-07-08,,19689,https://www2.assemblee-nationale.fr/sycomore/fiche/19689,2026-09-13
PA643192,Chantal Jourdan,2024-07-08,,19515,https://www2.assemblee-nationale.fr/sycomore/fiche/19515,2026-09-13
PA687214,Sylvain Berrios,2024-07-08,,18556,https://www2.assemblee-nationale.fr/sycomore/fiche/18556,2026-09-13
PA712014,Vincent Ledoux,2025-01-24,,19239,https://www2.assemblee-nationale.fr/sycomore/fiche/19239,2026-09-13
PA712015,Julien Dive,2024-07-08,,19124,https://www2.assemblee-nationale.fr/sycomore/fiche/19124,2026-09-13
