acteur_uid,prenom,nom,groupe_uid,groupe_libelle,groupe_libelle_abrev,aligned_votes,compared_votes,alignment_pct,refreshed_at
PA796090,Aymeric,Caron,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,219,222,98.6,2026-05-31T18:39:03.755143+00:00
PA793912,Sylvain,Carrière,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,712,717,99.3,2026-05-31T18:39:03.755143+00:00
PA841801,Danièle,Carteron,,,,,,,
PA719138,Michel,Castellani,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,56,76,73.7,2026-05-31T18:39:03.755143+00:00
PA840075,Eddy,Casterman,PO845401,Rassemblement National,RN,540,542,99.6,2026-05-31T18:39:03.755143+00:00
PA795868,Jean-Victor,Castor,PO845514,Gauche Démocrate et Républicaine,GDR,95,101,94.1,2026-05-31T18:39:03.755143+00:00
PA842187,Gabrielle,Cathala,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,546,549,99.5,2026-05-31T18:39:03.755143+00:00
PA842311,Vincent,Caure,PO845407,Ensemble pour la République,EPR,329,333,98.8,2026-05-31T18:39:03.755143+00:00
PA719922,Lionel,Causse,PO845407,Ensemble pour la République,EPR,173,180,96.1,2026-05-31T18:39:03.755143+00:00
PA719472,Jean-René,Cazeneuve,PO845407,Ensemble pour la République,EPR,258,278,92.8,2026-05-31T18:39:03.755143+00:00
PA795864,Pierre,Cazeneuve,PO845407,Ensemble pour la République,EPR,352,360,97.8,2026-05-31T18:39:03.755143+00:00
PA841047,François-Xavier,Ceccoli,PO845425,Droite Républicaine,DR,168,179,93.9,2026-05-31T18:39:03.755143+00:00
PA842037,Bérenger,Cernon,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,528,533,99.1,2026-05-31T18:39:03.755143+00:00
PA718820,Pauline,Cestrières,,,,,,,
PA840701,Bernard,Chaix,PO872880,Union des droites pour la République,UDDPLR,311,318,97.8,2026-05-31T18:39:03.755143+00:00
PA794008,Cyrielle,Chatelain,PO845439,Écologiste et Social,ECOS,450,454,99.1,2026-05-31T18:39:03.755143+00:00
PA840107,Bernard,Chaumeil,,,,,,,
PA840721,Marc,Chavent,PO872880,Union des droites pour la République,UDDPLR,409,415,98.6,2026-05-31T18:39:03.755143+00:00
PA841595,Cendrine,Chazé,,,,,,,
PA795908,Yannick,Chenevard,PO845407,Ensemble pour la République,EPR,248,260,95.4,2026-05-31T18:39:03.755143+00:00
PA720468,Sébastien,Chenu,PO845401,Rassemblement National,RN,202,217,93.1,2026-05-31T18:39:03.755143+00:00
PA791812,Sophia,Chikirou,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,218,219,99.5,2026-05-31T18:39:03.755143+00:00
PA840903,Paul,Christophle,PO845419,Socialistes et apparentés,SOC,225,235,95.7,2026-05-31T18:39:03.755143+00:00
PA794198,Roger,Chudeau,PO845401,Rassemblement National,RN,367,380,96.6,2026-05-31T18:39:03.755143+00:00
PA330240,Éric,Ciotti,PO872880,Union des droites pour la République,UDDPLR,180,184,97.8,2026-05-31T18:39:03.755143+00:00
PA840159,Bruno,Clavet,PO845401,Rassemblement National,RN,178,181,98.3,2026-05-31T18:39:03.755143+00:00
PA793736,Hadrien,Clouet,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,616,618,99.7,2026-05-31T18:39:03.755143+00:00
PA795402,Nathalie,Coggia,PO845407,Ensemble pour la République,EPR,406,412,98.5,2026-05-31T18:39:03.755143+00:00
PA841431,Nathalie,Colin-Oesterlé,PO845470,Horizons & Indépendants,HOR,461,517,89.2,2026-05-31T18:39:03.755143+00:00
PA719286,Paul-André,Colombani,PO845485,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,161,182,88.5,2026-05-31T18:39:03.755143+00:00
PA793548,Caroline,Colombier,PO845401,Rassemblement National,RN,598,604,99.0,2026-05-31T18:39:03.755143+00:00
PA721202,Éric,Coquerel,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,239,247,96.8,2026-05-31T18:39:03.755143+00:00
PA721210,Alexis,Corbière,PO845439,Écologiste et Social,ECOS,250,270,92.6,2026-05-31T18:39:03.755143+00:00
PA718850,Pierre,Cordier,PO845425,Droite Républicaine,DR,168,177,94.9,2026-05-31T18:39:03.755143+00:00
PA719118,François,Cormier-Bouligeon,PO845407,Ensemble pour la République,EPR,356,370,96.2,2026-05-31T18:39:03.755143+00:00
PA722390,Josiane,Corneloup,PO845425,Droite Républicaine,DR,256,290,88.3,2026-05-31T18:39:03.755143+00:00
PA793520,Mickaël,Cosson,PO845454,Les Démocrates,DEM,349,374,93.3,2026-05-31T18:39:03.755143+00:00
PA795136,Jean-François,Coulomme,PO845413,La France insoumise - Nouveau Front Populaire,LFI-NFP,571,578,98.8,2026-05-31T18:39:03.755143+00:00
PA841295,Pierrick,Courbon,PO845419,Socialistes et apparentés,SOC,224,230,97.4,2026-05-31T18:39:03.755143+00:00
PA794430,Michel,Criaud,PO845470,Horizons & Indépendants,HOR,236,270,87.4,2026-05-31T18:39:03.755143+00:00
